Beta-19
      Date,      Time,   Battery,  Fix,       Latitude,      Longitude,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env,   Temp(C),     RH(%),    P(hPa),   Alti(m)
 2022/4/19,   12:22:0,  4.043750,    0,       0.000000,       0.000000,        18,         6,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0, 27.430000,20.462891,100821.390625,42.013165
 2022/4/19,   12:22:0,  4.043750,    0,       0.000000,       0.000000,        18,         6,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0, 27.430000,20.462891,100821.390625,42.013165
 2022/4/19,  12:22:10,  4.043750,    0,       0.000000,       0.000000,        27,         9,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0, 27.440001,20.827148,100813.921875,42.637691
 2022/4/19,   13:19:0,  4.045000,    0,       0.000000,       0.000000,        18,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 25.780001,21.475586,100782.078125,45.300304
 2022/4/19,   13:19:0,  4.045000,    0,       0.000000,       0.000000,        18,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 25.780001,21.488281,100783.515625,45.180111
 2022/4/19,  13:19:10,  4.045000,    0,       0.000000,       0.000000,        18,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 25.790001,21.500000,100781.585938,45.308384
 2022/4/19,  13:19:20,  4.045000,    0,       0.000000,       0.000000,        18,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 25.809999,21.538086,100780.062500,45.468983
 2022/4/19,  13:19:30,  4.043750,    0,       0.000000,       0.000000,         9,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 25.820000,21.538086,100779.976562,45.476051
 2022/4/19,  13:19:40,  4.045000,    0,       0.000000,       0.000000,         9,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 25.830000,21.381836,100776.851562,45.737659
 2022/4/19,  13:19:50,  4.045000,    0,       0.000000,       0.000000,        30,        10,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 25.850000,21.406250,100783.171875,45.208897
 2022/4/19,   13:20:0,  4.045000,    0,       0.000000,       0.000000,        30,        10,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 25.860001,21.359375,100777.992188,45.642208
 2022/4/19,  13:20:10,  4.045000,    0,       0.000000,       0.000000,        18,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 25.879999,21.311523,100782.234375,45.287174
 2022/4/19,  13:20:20,  4.045000,    0,       0.000000,       0.000000,        27,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 25.900000,21.335938,100779.265625,45.535645
 2022/4/19,  13:20:30,  4.045000,    0,       0.000000,       0.000000,        36,         9,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 25.920000,21.325195,100778.140625,45.629581
 2022/4/19,  13:20:40,  4.045000,    0,       0.000000,       0.000000,        27,         9,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 25.930000,21.336914,100776.851562,45.737659
 2022/4/19,  13:20:50,  4.045000,    0,       0.000000,       0.000000,        36,         9,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 25.940001,21.374023,100778.453125,45.603321
 2022/4/19,   13:21:0,  4.045000,    0,       0.000000,       0.000000,         9,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 25.950001,21.254883,100780.875000,45.400803
 2022/4/19,  13:21:10,  4.045000,    0,       0.000000,       0.000000,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 25.959999,21.266602,100776.703125,45.749779
 2022/4/19,  13:21:20,  4.045000,    0,       0.000000,       0.000000,        30,        10,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 25.969999,21.255859,100774.382812,45.943718
 2022/4/19,  13:21:30,  4.045000,    0,       0.000000,       0.000000,        93,        27,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 25.990000,21.268555,100773.500000,46.017960
 2022/4/19,  13:21:40,  4.045000,    0,       0.000000,       0.000000,        30,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.000000,21.219727,100769.328125,46.366451
 2022/4/19,  13:21:50,  4.045000,    0,       0.000000,       0.000000,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.010000,21.148438,100778.937500,45.562916
 2022/4/19,   13:22:0,  4.045000,    0,       0.000000,       0.000000,        21,         7,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.020000,21.161133,100777.648438,45.670490
 2022/4/19,  13:22:10,  4.045000,    0,       0.000000,       0.000000,        21,         7,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.040001,21.125000,100776.117188,45.798767
 2022/4/19,  13:22:20,  4.045000,    0,       0.000000,       0.000000,        18,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.040001,21.052734,100780.843750,45.403835
 2022/4/19,  13:22:30,  4.045000,    0,       0.000000,       0.000000,        18,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.049999,21.089844,100771.953125,46.146748
 2022/4/19,  13:22:40,  4.043750,    0,       0.000000,       0.000000,        18,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.070000,21.102539,100778.703125,45.582615
 2022/4/19,  13:22:50,  4.045000,    0,       0.000000,       0.000000,        42,        11,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.070000,21.041992,100777.015625,45.724022
 2022/4/19,   13:23:0,  4.043750,    0,       0.000000,       0.000000,        63,        21,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.070000,21.041992,100781.343750,45.361916
 2022/4/19,  13:23:10,  4.045000,    0,       0.000000,       0.000000,        39,        10,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.100000,21.055664,100777.726562,45.663925
 2022/4/19,  13:23:20,  4.045000,    0,       0.000000,       0.000000,        48,        13,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.100000,21.043945,100781.812500,45.322525
 2022/4/19,  13:23:30,  4.045000,    0,       0.000000,       0.000000,        30,        10,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.110001,20.984375,100776.203125,45.791698
 2022/4/19,  13:23:40,  4.043750,    0,       0.000000,       0.000000,         9,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.120001,20.984375,100775.554688,45.845737
 2022/4/19,  13:23:50,  4.043750,    0,       0.000000,       0.000000,         9,         3,         3,         3,         0,         0,         0,         0,         0,         0,         0,         0, 26.129999,21.020508,100775.312500,45.865940
 2022/4/19,   13:24:0,  4.043750,    0,       0.000000,       0.000000,        48,        16,         3,         3,         0,         0,         0,         0,         0,         0,         0,         0, 26.139999,21.033203,100777.312500,45.698772
 2022/4/19,  13:24:10,  4.045000,    0,       0.000000,       0.000000,        39,        13,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.150000,20.960938,100779.953125,45.477566
 2022/4/19,  13:24:20,  4.045000,    0,       0.000000,       0.000000,         9,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.150000,20.936523,100777.859375,45.653316
 2022/4/19,  13:24:30,  4.043750,    0,       0.000000,       0.000000,         9,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.170000,20.913086,100777.007812,45.724529
 2022/4/19,  13:24:40,  4.045000,    0,       0.000000,       0.000000,        60,        20,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.170000,20.877930,100776.359375,45.778568
 2022/4/19,  13:24:50,  4.045000,    0,       0.000000,       0.000000,        51,        17,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.180000,20.866211,100775.476562,45.852303
 2022/4/19,   13:25:0,  4.045000,    0,       0.000000,       0.000000,        39,        13,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.190001,20.853516,100771.546875,46.181091
 2022/4/19,  13:25:10,  4.045000,    0,       0.000000,       0.000000,        30,        10,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.200001,20.866211,100776.031250,45.805840
 2022/4/19,  13:25:20,  4.043750,    0,       0.000000,       0.000000,        21,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.200001,20.842773,100771.062500,46.221497
 2022/4/19,  13:25:30,  4.043750,    0,       0.000000,       0.000000,        42,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.209999,20.879883,100773.062500,46.053818
 2022/4/19,  13:25:40,  4.045000,    0,       0.000000,       0.000000,        42,        10,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.219999,20.855469,100770.976562,46.228569
 2022/4/19,  13:25:50,  4.045000,    0,       0.000000,       0.000000,        30,         7,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.230000,20.783203,100774.015625,45.974525
 2022/4/19,   13:26:0,  4.043750,    0,       0.000000,       0.000000,        39,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.240000,20.832031,100769.843750,46.323521
 2022/4/19,  13:26:10,  4.045000,    0,       0.000000,       0.000000,        30,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.250000,20.796875,100771.437500,46.190182
 2022/4/19,  13:26:20,  4.045000,    0,       0.000000,       0.000000,         9,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.250000,20.772461,100767.117188,46.551811
