Breakout-05
      Date,      Time,   Battery,  Fix,       Latitude,      Longitude,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env
 2022/4/28,   9:53:45,  4.110000,    0,       0.000000,       0.000000,        63,        15,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2022/4/28,   9:53:55,  4.110000,    0,       0.000000,       0.000000,        99,        30,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2022/4/28,   9:54:12,  4.110000,    0,       0.000000,       0.000000,       108,        24,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2022/4/28,   9:54:32,  4.110000,    0,       0.000000,       0.000000,       117,        39,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2022/4/28,   9:54:52,  4.110000,    0,       0.000000,       0.000000,       126,        33,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2022/4/28,   9:55:12,  4.110000,    0,       0.000000,       0.000000,       108,        33,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2022/4/28,   9:55:32,  4.110000,    0,       0.000000,       0.000000,        72,        24,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2022/4/28,   9:55:52,  4.110000,    0,       0.000000,       0.000000,       135,        39,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2022/4/28,   9:56:12,  4.110000,    0,       0.000000,       0.000000,       153,        51,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2022/4/28,   9:56:32,  4.110000,    0,       0.000000,       0.000000,        99,        30,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2022/4/28,   9:56:52,  4.110000,    0,       0.000000,       0.000000,        99,        27,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2022/4/28,   9:57:12,  4.110000,    0,       0.000000,       0.000000,       117,        30,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2022/4/28,   9:57:32,  4.110000,    0,       0.000000,       0.000000,        90,        27,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2022/4/28,   9:57:52,  4.110000,    0,       0.000000,       0.000000,       153,        42,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2022/4/28,   9:58:12,  4.110000,    0,       0.000000,       0.000000,        99,        27,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2022/4/28,   9:58:32,  4.110000,    0,       0.000000,       0.000000,       108,        24,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2022/4/28,   9:58:52,  4.110000,    0,       0.000000,       0.000000,        99,        30,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2022/4/28,   9:59:12,  4.110000,    0,       0.000000,       0.000000,        99,        24,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2022/4/28,   9:59:32,  4.110000,    0,       0.000000,       0.000000,        63,        18,         6,         3,         3,         0,         0,         0,         0,         0,         0,         0
 2022/4/28,   9:59:52,  4.110000,    0,       0.000000,       0.000000,       198,        57,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2022/4/28,   10:0:12,  4.110000,    0,       0.000000,       0.000000,        99,        33,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2022/4/28,   10:0:32,  4.110000,    0,       0.000000,       0.000000,       153,        45,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   22/4/28,   17:0:36,  4.110000,    1,      47.653511,    -122.304131,       144,        42,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   22/4/28,   17:0:56,  4.110000,    1,      47.653393,    -122.304077,       144,        42,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   22/4/28,   17:1:16,  4.110000,    1,      47.653240,    -122.304459,       135,        39,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   22/4/28,   17:1:36,  4.110000,    1,      47.653240,    -122.304810,       138,        33,         9,         0,         0,         0,         0,         0,         0,         0,         0,         0
   22/4/28,   17:1:56,  4.110000,    1,      47.653404,    -122.304924,       198,        51,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0
   22/4/28,   17:2:16,  4.110000,    1,      47.653477,    -122.304985,       153,        48,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   22/4/28,   17:2:36,  4.110000,    1,      47.653496,    -122.304970,        99,        27,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   22/4/28,   17:2:56,  4.110000,    1,      47.653271,    -122.304924,       162,        39,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2022/4/28,   10:3:32,  4.110000,    0,      47.653236,    -122.304924,       153,        39,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2022/4/28,   10:3:52,  4.110000,    0,      47.653236,    -122.304924,       126,        36,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   22/4/28,   17:3:56,  4.110000,    1,      47.653522,    -122.304810,       165,        55,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0
   22/4/28,   17:4:16,  4.110000,    1,      47.653416,    -122.304688,        99,        30,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2022/4/28,   10:4:52,  4.110000,    0,      47.653557,    -122.304626,        99,        30,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2022/4/28,   10:5:12,  4.110000,    0,      47.653557,    -122.304626,        45,         9,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2022/4/28,   10:5:32,  4.110000,    0,      47.653557,    -122.304626,        81,        27,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2022/4/28,   10:5:52,  4.110000,    0,      47.653557,    -122.304626,        63,        18,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2022/4/28,   10:6:12,  4.110000,    0,      47.653557,    -122.304626,       135,        33,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2022/4/28,   10:6:32,  4.110000,    0,      47.653557,    -122.304626,       162,        48,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2022/4/28,   10:6:52,  4.110000,    0,      47.653557,    -122.304626,       108,        24,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2022/4/28,   10:7:12,  4.110000,    0,      47.653557,    -122.304626,       162,        45,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2022/4/28,   10:7:32,  4.110000,    0,      47.653557,    -122.304626,       192,        64,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1
 2022/4/28,   10:7:52,  4.110000,    0,      47.653557,    -122.304626,        81,        21,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2022/4/28,   10:8:12,  4.110000,    0,      47.653557,    -122.304626,       126,        39,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   22/4/28,   17:8:16,  4.110000,    1,      47.654373,    -122.306122,       189,        54,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2022/4/28,   10:8:52,  4.110000,    0,      47.654369,    -122.306122,       135,        39,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   22/4/28,   17:8:56,  4.110000,    1,      47.654926,    -122.306480,       108,        27,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0
   22/4/28,   17:9:16,  4.110000,    1,      47.654854,    -122.306572,       108,        27,         3,         3,         3,         0,         0,         0,         1,         0,         0,         1
   22/4/28,   17:9:35,  4.110000,    1,      47.654202,    -122.306740,       126,        39,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0
   22/4/28,   17:9:56,  4.110000,    1,      47.653908,    -122.306717,        72,        15,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   22/4/28,  17:10:16,  4.110000,    1,      47.654015,    -122.306725,       153,        48,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0
   22/4/28,  17:10:36,  4.110000,    1,      47.653244,    -122.306099,       108,        33,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   22/4/28,  17:10:56,  4.110000,    1,      47.653252,    -122.306007,       144,        30,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2022/4/28,  10:11:32,  4.110000,    0,      47.653320,    -122.305984,       117,        30,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2022/4/28,  10:11:52,  4.110000,    0,      47.653320,    -122.305984,        90,        30,         3,         3,         0,         0,         0,         0,         0,         0,         0,         0
 2022/4/28,  10:12:12,  4.110000,    0,      47.653320,    -122.305984,       135,        36,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2022/4/28,  10:12:32,  4.110000,    0,      47.653320,    -122.305984,        54,        15,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2022/4/28,  10:12:52,  4.110000,    0,      47.653320,    -122.305984,       162,        39,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2022/4/28,  10:13:12,  4.110000,    0,      47.653320,    -122.305984,       126,        39,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   22/4/28,  17:13:16,  4.110000,    1,      47.653316,    -122.306084,        99,        27,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2022/4/28,  10:13:52,  4.110000,    0,      47.653461,    -122.306458,       135,        36,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   22/4/28,  17:13:56,  4.110000,    1,      47.653297,    -122.306496,        90,        24,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0
   22/4/28,  17:14:16,  4.110000,    1,      47.653439,    -122.306870,       135,        39,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0
   22/4/28,  17:14:36,  4.110000,    1,      47.653561,    -122.306793,        45,        15,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0
   22/4/28,  17:14:56,  4.110000,    1,      47.653477,    -122.306755,       162,        48,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0
   22/4/28,  17:15:16,  4.110000,    1,      47.653419,    -122.306717,        99,        27,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0
   22/4/28,  17:15:36,  4.110000,    1,      47.653492,    -122.306595,       144,        42,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0
   22/4/28,  17:15:56,  4.110000,    1,      47.653366,    -122.306549,       207,        57,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   22/4/28,  17:16:16,  4.110000,    1,      47.653236,    -122.306648,       162,        45,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2022/4/28,  10:16:52,  4.110000,    0,      47.653229,    -122.306725,        63,        15,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
