Beta-19
      Date,      Time,   Battery,  Fix,       Latitude,      Longitude,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env,   Temp(C),     RH(%),    P(hPa),   Alti(m)
  2022/5/1,     0:0:8,  4.047500,    0,       0.000000,       0.000000,       390,       118,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.980000,25.506836,101568.156250,-20.225088
  2022/5/1,    0:0:18,  4.047500,    0,       0.000000,       0.000000,       366,       114,         6,         0,         0,         0,         0,         1,         1,         0,         1,         1, 26.980000,25.506836,101562.781250,-19.778433
  2022/5/1,    0:0:28,  4.047500,    0,       0.000000,       0.000000,       264,        84,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.980000,25.542969,101567.750000,-20.190962
  2022/5/1,    0:0:38,  4.047500,    0,       0.000000,       0.000000,       264,        77,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.990000,25.531250,101566.078125,-20.052450
  2022/5/1,    0:0:48,  4.047500,    0,       0.000000,       0.000000,       300,        92,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.879999,25.537109,101547.304688,-18.491554
  2022/5/1,    0:0:58,  4.047500,    0,       0.000000,       0.000000,       255,        77,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.969999,25.530273,101559.296875,-19.488346
  2022/5/1,     0:1:8,  4.047500,    0,       0.000000,       0.000000,       321,        99,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.969999,25.530273,101563.625000,-19.847691
  2022/5/1,    0:1:18,  4.047500,    0,       0.000000,       0.000000,       390,       118,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1, 26.969999,25.554688,101567.562500,-20.174904
  2022/5/1,    0:1:28,  4.047500,    0,       0.000000,       0.000000,       396,       120,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1, 26.969999,25.542969,101566.109375,-20.054459
  2022/5/1,    0:1:38,  4.047500,    0,       0.000000,       0.000000,       441,       135,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1, 26.969999,25.542969,101566.109375,-20.054459
  2022/5/1,    0:1:48,  4.047500,    0,       0.000000,       0.000000,       330,       102,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.959999,25.554688,101568.203125,-20.228100
  2022/5/1,    0:1:58,  4.047500,    0,       0.000000,       0.000000,       378,       118,         9,         0,         0,         0,         1,         1,         1,         1,         1,         1, 26.969999,25.566406,101568.593750,-20.261221
  2022/5/1,     0:2:8,  4.047500,    0,       0.000000,       0.000000,       450,       138,        13,         0,         0,         0,         2,         2,         2,         2,         2,         2, 26.959999,25.578125,101568.203125,-20.228100
  2022/5/1,    0:2:18,  4.047500,    0,       0.000000,       0.000000,       417,       119,        10,         0,         0,         0,         2,         2,         2,         2,         2,         2, 26.950001,25.565430,101563.296875,-19.821594
  2022/5/1,    0:2:28,  4.047500,    0,       0.000000,       0.000000,       420,       120,         7,         0,         0,         0,         2,         2,         2,         2,         2,         2, 26.959999,25.578125,101566.984375,-20.127729
  2022/5/1,    0:2:38,  4.047500,    0,       0.000000,       0.000000,       453,       131,         3,         0,         0,         0,         1,         1,         1,         1,         1,         1, 26.950001,25.578125,101561.453125,-19.668020
  2022/5/1,    0:2:48,  4.047500,    0,       0.000000,       0.000000,       249,        75,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.940001,25.589844,101566.421875,-20.080555
  2022/5/1,    0:2:58,  4.047500,    0,       0.000000,       0.000000,       237,        79,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.940001,25.565430,101566.023438,-20.047432
  2022/5/1,     0:3:8,  4.047500,    0,       0.000000,       0.000000,       312,        96,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.940001,25.601562,101564.171875,-19.893862
  2022/5/1,    0:3:18,  4.047500,    0,       0.000000,       0.000000,       357,       111,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.940001,25.588867,101565.617188,-20.014309
  2022/5/1,    0:3:28,  4.047500,    0,       0.000000,       0.000000,       288,        92,         3,         0,         0,         0,         1,         1,         1,         1,         1,         1, 26.940001,25.601562,101569.546875,-20.340513
  2022/5/1,    0:3:38,  4.047500,    0,       0.000000,       0.000000,       273,        84,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.940001,25.601562,101570.750000,-20.201000
  2022/5/1,    0:3:48,  4.047500,    0,       0.000000,       0.000000,       276,        80,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.940001,25.589844,101561.687500,-19.687092
  2022/5/1,    0:3:58,  4.047500,    0,       0.000000,       0.000000,       288,        84,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.940001,25.601562,101569.312500,-20.320440
  2022/5/1,     0:4:8,  4.047500,    0,       0.000000,       0.000000,       321,       103,         6,         0,         0,         0,         0,         1,         1,         0,         1,         1, 26.940001,25.589844,101563.531250,-19.840664
  2022/5/1,    0:4:18,  4.047500,    0,       0.000000,       0.000000,       453,       143,         6,         0,         0,         0,         1,         1,         1,         1,         1,         1, 26.950001,25.589844,101563.937500,-19.874792
  2022/5/1,    0:4:28,  4.047500,    0,       0.000000,       0.000000,       405,       104,         3,         0,         0,         0,         1,         1,         1,         1,         1,         1, 26.950001,25.565430,101561.046875,-19.633892
  2022/5/1,    0:4:38,  4.047500,    0,       0.000000,       0.000000,       273,        76,         7,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.950001,25.589844,101567.226562,-20.147804
  2022/5/1,    0:4:48,  4.047500,    0,       0.000000,       0.000000,       429,       135,        10,         0,         0,         0,         1,         1,         1,         1,         1,         1, 26.950001,25.565430,101564.742188,-19.941038
  2022/5/1,    0:4:58,  4.047500,    0,       0.000000,       0.000000,       309,        91,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.959999,25.578125,101562.656250,-19.768394
  2022/5/1,     0:5:8,  4.047500,    0,       0.000000,       0.000000,       261,        87,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.959999,25.578125,101558.328125,-19.408045
  2022/5/1,    0:5:18,  4.047500,    0,       0.000000,       0.000000,       309,        95,        10,         0,         0,         0,         0,         1,         1,         0,         1,         1, 26.950001,25.578125,101568.031250,-20.214048
  2022/5/1,    0:5:28,  4.047500,    0,       0.000000,       0.000000,       249,        83,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.959999,25.614258,101565.546875,-20.008287
  2022/5/1,    0:5:38,  4.047500,    0,       0.000000,       0.000000,       306,        94,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.959999,25.578125,101559.773438,-19.528498
  2022/5/1,    0:5:48,  4.047500,    0,       0.000000,       0.000000,       354,       106,         3,         0,         0,         0,         1,         1,         1,         1,         1,         1, 26.959999,25.566406,101562.421875,-19.388973
  2022/5/1,    0:5:58,  4.047500,    0,       0.000000,       0.000000,       366,       118,        10,         0,         0,         0,         1,         1,         1,         1,         1,         1, 26.959999,25.566406,101560.984375,-19.628874
  2022/5/1,     0:6:8,  4.047500,    0,       0.000000,       0.000000,       300,        92,         7,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.969999,25.554688,101562.187500,-19.729250
  2022/5/1,    0:6:18,  4.047500,    0,       0.000000,       0.000000,       312,       100,         7,         0,         0,         0,         0,         1,         1,         0,         1,         1, 26.969999,25.542969,101564.671875,-19.935015
  2022/5/1,    0:6:28,  4.047500,    0,       0.000000,       0.000000,       297,        91,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.969999,25.554688,101554.968750,-19.128990
  2022/5/1,    0:6:38,  4.047500,    0,       0.000000,       0.000000,       354,       106,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.980000,25.531250,101568.796875,-20.278284
  2022/5/1,    0:6:48,  4.047500,    0,       0.000000,       0.000000,       522,       146,        10,         3,         0,         0,         1,         2,         2,         1,         2,         2, 26.969999,25.530273,101566.109375,-20.054459
  2022/5/1,    0:6:58,  4.047500,    0,       0.000000,       0.000000,       465,       131,        10,         3,         0,         0,         1,         2,         2,         1,         2,         2, 26.969999,25.555664,101564.062500,-19.884829
  2022/5/1,     0:7:8,  4.047500,    0,       0.000000,       0.000000,       393,       119,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1, 26.969999,25.531250,101558.281250,-19.404030
  2022/5/1,    0:7:18,  4.047500,    0,       0.000000,       0.000000,       402,       118,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.980000,25.531250,101559.093750,-19.471283
  2022/5/1,    0:7:28,  4.047500,    0,       0.000000,       0.000000,       366,       114,         3,         0,         0,         0,         0,         1,         1,         0,         1,         1, 26.980000,25.518555,101560.937500,-19.624859
  2022/5/1,    0:7:38,  4.047500,    0,       0.000000,       0.000000,       438,       134,         3,         0,         0,         0,         1,         1,         1,         1,         1,         1, 26.980000,25.531250,101562.781250,-19.778433
  2022/5/1,    0:7:48,  4.047500,    0,       0.000000,       0.000000,       369,       107,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.980000,25.531250,101557.648438,-19.351833
  2022/5/1,    0:7:58,  4.047500,    0,       0.000000,       0.000000,       312,        96,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.980000,25.555664,101563.828125,-19.865757
  2022/5/1,     0:8:8,  4.047500,    0,       0.000000,       0.000000,       321,       107,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 26.980000,25.531250,101559.500000,-19.505411
  2022/5/1,    0:8:18,  4.047500,    0,       0.000000,       0.000000,       342,        90,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1, 26.990000,25.531250,101558.859375,-19.452211
  2022/5/1,    0:8:28,  4.047500,    0,       0.000000,       0.000000,       318,        90,         3,         0,         0,         0,         1,         1,         1,         1,         1,         1, 26.990000,25.531250,101564.625000,-19.931000
  2022/5/1,    0:8:38,  4.047500,    0,       0.000000,       0.000000,       276,        88,         6,         0,         0,         0,         1,         1,         1,         1,         1,         1, 26.990000,25.531250,101558.859375,-19.452211
  2022/5/1,    0:8:48,  4.047500,    0,       0.000000,       0.000000,       291,        90,         3,         3,         3,         0,         0,         0,         2,         0,         0,         2, 26.990000,25.519531,101560.703125,-19.605787
  2022/5/1,    0:8:58,  4.047500,    0,       0.000000,       0.000000,       312,        89,         3,         3,         3,         0,         0,         0,         2,         0,         0,         2, 26.990000,25.531250,101569.359375,-20.324453
  2022/5/1,     0:9:8,  4.047500,    0,       0.000000,       0.000000,       366,       107,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1, 26.980000,25.531250,101559.890625,-19.537531
  2022/5/1,    0:9:18,  4.047500,    0,       0.000000,       0.000000,       498,       151,         3,         3,         3,         3,         1,         1,         4,         1,         1,         4, 26.980000,25.531250,101557.648438,-19.351833
