Breakout-02
      Date,      Time,   Battery,  Fix,       Latitude,      Longitude,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env
  2022/5/1,    0:0:13,  4.050000,    0,       0.000000,       0.000000,       432,       124,        10,         0,         0,         0,         0,         1,         1,         0,         1,         1
  2022/5/1,    0:0:33,  4.050000,    0,       0.000000,       0.000000,       435,       134,         6,         0,         0,         0,         1,         1,         1,         1,         1,         1
  2022/5/1,    0:0:53,  4.050000,    0,       0.000000,       0.000000,       414,       134,         3,         0,         0,         0,         1,         1,         1,         1,         1,         1
  2022/5/1,    0:1:13,  4.050000,    0,       0.000000,       0.000000,       246,        68,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0
  2022/5/1,    0:1:33,  4.050000,    0,       0.000000,       0.000000,       447,       137,         6,         0,         0,         0,         1,         2,         2,         1,         2,         2
  2022/5/1,    0:1:53,  4.050000,    0,       0.000000,       0.000000,       411,       118,        16,         3,         3,         3,         1,         1,         4,         1,         1,         4
  2022/5/1,    0:2:13,  4.050000,    0,       0.000000,       0.000000,       402,       121,        10,         0,         0,         0,         1,         1,         1,         1,         1,         1
  2022/5/1,    0:2:33,  4.050000,    0,       0.000000,       0.000000,       267,        83,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0
  2022/5/1,    0:2:53,  4.050000,    0,       0.000000,       0.000000,       591,       179,         9,         0,         0,         0,         2,         2,         2,         2,         2,         2
  2022/5/1,    0:3:13,  4.050000,    0,       0.000000,       0.000000,       423,       134,        12,         9,         6,         6,         0,         1,         7,         0,         1,         7
  2022/5/1,    0:3:33,  4.050000,    0,       0.000000,       0.000000,       630,       180,        23,         3,         3,         3,         1,         2,         5,         1,         2,         5
  2022/5/1,    0:3:53,  4.050000,    0,       0.000000,       0.000000,       246,        71,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
  2022/5/1,    0:4:13,  4.050000,    0,       0.000000,       0.000000,       288,        90,        10,         0,         0,         0,         0,         0,         0,         0,         0,         0
  2022/5/1,    0:4:33,  4.050000,    0,       0.000000,       0.000000,       267,        75,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0
  2022/5/1,    0:4:53,  4.050000,    0,       0.000000,       0.000000,       378,       116,         3,         0,         0,         0,         1,         1,         1,         1,         1,         1
  2022/5/1,    0:5:13,  4.050000,    0,       0.000000,       0.000000,       363,       115,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
  2022/5/1,    0:5:33,  4.050000,    0,       0.000000,       0.000000,       288,        81,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0
  2022/5/1,    0:5:53,  4.050000,    0,       0.000000,       0.000000,       435,       121,         3,         0,         0,         0,         2,         2,         2,         2,         2,         2
  2022/5/1,    0:6:13,  4.050000,    0,       0.000000,       0.000000,       369,       109,        10,         0,         0,         0,         1,         1,         1,         1,         1,         1
  2022/5/1,    0:6:33,  4.050000,    0,       0.000000,       0.000000,       420,       126,         3,         0,         0,         0,         2,         2,         2,         2,         2,         2
  2022/5/1,    0:6:53,  4.050000,    0,       0.000000,       0.000000,       378,       109,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
  2022/5/1,    0:7:13,  4.050000,    0,       0.000000,       0.000000,       393,       113,         6,         3,         3,         0,         0,         0,         2,         0,         0,         2
  2022/5/1,    0:7:33,  4.050000,    0,       0.000000,       0.000000,       252,        68,         6,         3,         0,         0,         0,         0,         1,         0,         0,         1
  2022/5/1,    0:7:53,  4.050000,    0,       0.000000,       0.000000,       411,       116,         6,         3,         3,         3,         0,         0,         3,         0,         0,         3
  2022/5/1,    0:8:13,  4.050000,    0,       0.000000,       0.000000,       252,        74,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0
  2022/5/1,    0:8:33,  4.050000,    0,       0.000000,       0.000000,       465,       138,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1
