Breakout-05
      Date,      Time,   Battery,  Fix,       Latitude,      Longitude,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env
   22/5/18,   18:40:6,  4.110000,    1,      47.653267,    -122.304176,        99,        30,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0
   22/5/18,  18:40:16,  4.110000,    1,      47.653244,    -122.304207,        90,        30,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   22/5/18,  18:40:16,  4.110000,    1,      47.653244,    -122.304207,       156,        46,        15,         3,         3,         3,         0,         1,         4,         0,         1,         4
   22/5/18,  18:40:36,  4.110000,    1,      47.653290,    -122.304153,        90,        21,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0
   22/5/18,  18:40:56,  4.110000,    1,      47.653336,    -122.304131,        99,        30,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   22/5/18,  18:41:16,  4.110000,    1,      47.653416,    -122.304039,        72,        21,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   22/5/18,  18:41:36,  4.110000,    1,      47.653400,    -122.304062,        90,        21,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0
   22/5/18,  18:41:56,  4.110000,    1,      47.653431,    -122.304176,        81,        24,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0
   22/5/18,  18:42:16,  4.110000,    1,      47.653500,    -122.304131,        54,        15,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   22/5/18,  18:42:36,  4.110000,    1,      47.653461,    -122.304062,       153,        45,         6,         6,         3,         3,         0,         0,         3,         0,         0,         3
   22/5/18,  18:42:56,  4.110000,    1,      47.653446,    -122.304001,        63,        12,         3,         3,         3,         3,         0,         0,         1,         0,         0,         1
   22/5/18,  18:43:16,  4.110000,    1,      47.653477,    -122.303947,        54,        18,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   22/5/18,  18:43:36,  4.110000,    1,      47.653503,    -122.304207,        63,        21,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0
   22/5/18,  18:43:56,  4.110000,    1,      47.653557,    -122.304291,        18,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   22/5/18,  18:44:16,  4.110000,    1,      47.653465,    -122.304382,       126,        33,         3,         3,         3,         0,         0,         0,         1,         0,         0,         1
   22/5/18,  18:44:36,  4.110000,    1,      47.653439,    -122.304375,        54,        15,         6,         6,         3,         3,         0,         0,         2,         0,         0,         2
   22/5/18,  18:44:56,  4.110000,    1,      47.653324,    -122.304245,       210,        64,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   22/5/18,  18:45:16,  4.110000,    1,      47.653210,    -122.304169,       165,        46,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0
   22/5/18,  18:45:36,  4.110000,    1,      47.653217,    -122.304245,        90,        15,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   22/5/18,  18:45:56,  4.110000,    1,      47.653248,    -122.304207,       108,        33,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   22/5/18,  18:46:16,  4.110000,    1,      47.653210,    -122.304153,       162,        51,         6,         6,         3,         0,         0,         0,         2,         0,         0,         2
