Breakout-05
      Date,      Time,   Battery,  Fix,       Latitude,      Longitude,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env
   22/5/20,  18:49:31,  4.110000,    1,      47.652981,    -122.303856,       357,       113,         6,         0,         0,         0,         1,         1,         1,         1,         1,         1
   22/5/20,  18:49:41,  4.110000,    1,      47.653000,    -122.303856,       393,       113,        12,         0,         0,         0,         1,         1,         1,         1,         1,         1
   22/5/20,  18:49:41,  4.110000,    1,      47.653000,    -122.303856,       369,       110,         9,         3,         0,         0,         2,         2,         3,         2,         2,         3
   22/5/20,   18:50:1,  4.110000,    1,      47.653496,    -122.304176,       411,       127,        12,         9,         6,         3,         1,         1,         7,         1,         1,         7
   22/5/20,  18:50:21,  4.110000,    1,      47.653629,    -122.304291,       486,       137,         9,         0,         0,         0,         1,         1,         1,         1,         1,         1
   22/5/20,  18:50:41,  4.110000,    1,      47.653538,    -122.304359,       342,       105,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   22/5/20,   18:51:1,  4.110000,    1,      47.653473,    -122.304253,       225,        75,        15,         6,         6,         3,         0,         0,         5,         0,         0,         5
   22/5/20,  18:51:21,  4.110000,    1,      47.653667,    -122.304359,       378,       102,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2022/5/20,  11:51:57,  4.110000,    0,      47.653809,    -122.304497,       393,       122,         6,         0,         0,         0,         1,         1,         1,         1,         1,         1
   22/5/20,   18:52:1,  4.110000,    1,      47.653751,    -122.304756,       393,       109,        15,         6,         3,         0,         1,         2,         5,         1,         2,         5
   22/5/20,  18:52:21,  4.110000,    1,      47.653370,    -122.304253,       459,       143,         6,         0,         0,         0,         1,         2,         2,         1,         2,         2
   22/5/20,  18:52:41,  4.110000,    1,      47.653458,    -122.304291,       354,       105,        12,         0,         0,         0,         1,         1,         1,         1,         1,         1
   22/5/20,   18:53:1,  4.110000,    1,      47.653584,    -122.304535,       375,       118,        30,         3,         0,         0,         1,         1,         3,         1,         1,         3
   22/5/20,  18:53:21,  4.110000,    1,      47.653442,    -122.304382,       429,       137,        24,         3,         3,         0,         2,         2,         4,         2,         2,         4
   22/5/20,  18:53:41,  4.110000,    1,      47.653366,    -122.304306,       339,       103,        18,         3,         3,         3,         1,         2,         4,         1,         2,         4
   22/5/20,   18:54:1,  4.110000,    1,      47.653477,    -122.304413,       393,       116,        24,         3,         3,         0,         1,         1,         3,         1,         1,         3
   22/5/20,  18:54:21,  4.110000,    1,      47.653595,    -122.304283,       315,        96,         9,         0,         0,         0,         0,         1,         1,         0,         1,         1
   22/5/20,  18:54:41,  4.110000,    1,      47.653618,    -122.304138,       273,        78,         9,         3,         0,         0,         0,         0,         1,         0,         0,         1
   22/5/20,   18:55:1,  4.110000,    1,      47.653675,    -122.304115,       393,       121,        15,         3,         3,         0,         0,         1,         3,         0,         1,         3
   22/5/20,  18:55:21,  4.110000,    1,      47.653744,    -122.304207,       699,       214,        48,         9,         6,         0,         3,         5,         9,         3,         5,         9
   22/5/20,  18:55:41,  4.110000,    1,      47.653507,    -122.304268,       486,       152,        24,         3,         0,         0,         1,         3,         3,         1,         3,         3
   22/5/20,   18:56:1,  4.110000,    1,      47.653488,    -122.304359,       336,       109,        24,         6,         6,         0,         0,         1,         5,         0,         1,         5
   22/5/20,  18:56:21,  4.110000,    1,      47.653515,    -122.304321,       594,       181,        27,         6,         3,         0,         3,         4,         7,         3,         4,         7
   22/5/20,  18:56:41,  4.110000,    1,      47.653538,    -122.304344,       366,       110,        21,         3,         0,         0,         0,         1,         2,         0,         1,         2
   22/5/20,   18:57:1,  4.110000,    1,      47.653538,    -122.304245,       309,        94,        12,         0,         0,         0,         0,         1,         1,         0,         1,         1
   22/5/20,  18:57:21,  4.110000,    1,      47.653500,    -122.304253,       270,        84,        18,         3,         3,         0,         0,         1,         2,         0,         1,         2
   22/5/20,  18:57:41,  4.110000,    1,      47.653496,    -122.304253,       441,       141,        33,        12,         3,         0,         2,         4,         8,         2,         4,         8
   22/5/20,   18:58:1,  4.110000,    1,      47.653515,    -122.304306,       447,       143,        21,         6,         3,         0,         1,         2,         5,         1,         2,         5
   22/5/20,  18:58:21,  4.110000,    1,      47.653618,    -122.304382,       555,       165,        39,         9,         3,         3,         1,         5,         8,         1,         5,         8
   22/5/20,  18:58:41,  4.110000,    1,      47.653610,    -122.304413,       366,       109,        18,         9,         3,         0,         0,         1,         5,         0,         1,         5
   22/5/20,   18:59:1,  4.110000,    1,      47.653576,    -122.304398,       402,       121,        12,         0,         0,         0,         1,         1,         1,         1,         1,         1
   22/5/20,  18:59:21,  4.110000,    1,      47.653618,    -122.304451,       171,        54,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0
   22/5/20,  18:59:41,  4.110000,    1,      47.653648,    -122.304413,       417,       127,        18,         3,         0,         0,         0,         1,         2,         0,         1,         2
   22/5/20,    19:0:1,  4.110000,    1,      47.653679,    -122.304398,       489,       147,        12,         6,         3,         0,         1,         1,         4,         1,         1,         4
   22/5/20,   19:0:21,  4.110000,    1,      47.653698,    -122.304375,       291,        85,         9,         3,         3,         0,         0,         0,         2,         0,         0,         2
   22/5/20,   19:0:41,  4.110000,    1,      47.653679,    -122.304283,       354,        88,        12,         0,         0,         0,         0,         0,         0,         0,         0,         0
   22/5/20,    19:1:1,  4.110000,    1,      47.653873,    -122.304283,       345,       109,         6,         0,         0,         0,         1,         1,         1,         1,         1,         1
   22/5/20,   19:1:21,  4.110000,    1,      47.653748,    -122.304253,       189,        57,        12,         3,         3,         0,         0,         0,         1,         0,         0,         1
   22/5/20,   19:1:41,  4.110000,    1,      47.653687,    -122.304291,       546,       172,        55,         6,         6,         6,         2,         4,         9,         2,         4,         9
   22/5/20,    19:2:1,  4.110000,    1,      47.653736,    -122.304344,       534,       157,        24,         3,         3,         0,         3,         3,         5,         3,         3,         5
   22/5/20,   19:2:21,  4.110000,    1,      47.653706,    -122.304253,       507,       151,        15,         6,         0,         0,         1,         2,         3,         1,         2,         3
   22/5/20,   19:2:41,  4.110000,    1,      47.653770,    -122.304321,       384,       125,         6,         0,         0,         0,         1,         1,         1,         1,         1,         1
   22/5/20,    19:3:1,  4.110000,    1,      47.653576,    -122.304283,       291,        85,        18,         3,         3,         0,         0,         0,         2,         0,         0,         2
   22/5/20,   19:3:21,  4.110000,    1,      47.653393,    -122.304245,       270,        81,         3,         3,         0,         0,         0,         0,         1,         0,         0,         1
   22/5/20,   19:3:41,  4.110000,    1,      47.653522,    -122.304291,       225,        60,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0
   22/5/20,    19:4:1,  4.110000,    1,      47.653603,    -122.304344,       387,       113,        15,         6,         6,         3,         0,         0,         5,         0,         0,         5
   22/5/20,   19:4:21,  4.110000,    1,      47.653687,    -122.304337,       264,        81,        15,         6,         0,         0,         0,         1,         2,         0,         1,         2
   22/5/20,   19:4:41,  4.110000,    1,      47.653576,    -122.304291,       216,        63,        18,         3,         3,         0,         0,         1,         3,         0,         1,         3
   22/5/20,    19:5:1,  4.110000,    1,      47.653423,    -122.304268,       291,        85,        12,         3,         0,         0,         0,         0,         1,         0,         0,         1
   22/5/20,   19:5:21,  4.110000,    1,      47.653576,    -122.304138,       339,        97,        12,         0,         0,         0,         0,         1,         1,         0,         1,         1
   22/5/20,   19:5:41,  4.110000,    1,      47.653618,    -122.304024,       252,        75,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0
