Beta-19
      Date,      Time,   Battery,  Fix,       Latitude,      Longitude,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env,   Temp(C),     RH(%),    P(hPa),   Alti(m)
 2022/5/23,   13:28:0,  4.041250,    0,       0.000000,       0.000000,      1230,       382,        35,         3,         0,         0,         7,         9,         9,         7,         9,         9, 27.580000,28.315430,101912.500000,-48.799362
 2022/5/23,   13:28:6,  4.041250,    0,       0.000000,       0.000000,      1302,       410,        43,         0,         0,         0,         8,        10,        10,         8,        10,        10, 27.590000,28.110352,101918.882812,-49.327854
 2022/5/23,  13:28:16,  4.041250,    0,       0.000000,       0.000000,      1650,       526,       107,         3,         3,         3,        11,        17,        19,        11,        17,        19, 27.610001,28.281250,101912.390625,-48.790356
 2022/5/23,  13:28:26,  4.041250,    0,       0.000000,       0.000000,      1170,       378,        64,        16,         3,         3,         8,        13,        16,         8,        13,        16, 27.650000,28.186523,101915.156250,-49.018570
 2022/5/23,  13:28:36,  4.041250,    0,       0.000000,       0.000000,       906,       298,        48,         0,         0,         0,         6,         8,         8,         6,         8,         8, 27.660000,27.824219,101910.609375,-48.642212
 2022/5/23,  13:28:46,  4.041250,    0,       0.000000,       0.000000,      1170,       362,        40,         3,         3,         3,         7,         9,        12,         7,         9,        12, 27.670000,27.691406,101914.476562,-48.962517
 2022/5/23,  13:28:56,  4.041250,    0,       0.000000,       0.000000,      1350,       418,        56,         3,         3,         3,         8,        10,        12,         8,        10,        12, 27.670000,27.583008,101913.031250,-48.843403
 2022/5/23,   13:29:6,  4.041250,    0,       0.000000,       0.000000,      1518,       486,        75,         9,         0,         0,        10,        16,        16,        10,        16,        16, 27.690001,27.377930,101913.390625,-48.872433
 2022/5/23,  13:29:16,  4.041250,    0,       0.000000,       0.000000,      1494,       474,        67,        13,         6,         3,        10,        14,        18,        10,        14,        18, 27.700001,27.269531,101915.648438,-49.059608
 2022/5/23,  13:29:26,  4.041250,    0,       0.000000,       0.000000,      1242,       374,        67,         6,         6,         3,         7,         9,        14,         7,         9,        14, 27.700001,27.208984,101904.890625,-48.167744
 2022/5/23,  13:29:36,  4.041250,    0,       0.000000,       0.000000,      1122,       358,        52,         3,         3,         0,         8,         9,        11,         8,         9,        11, 27.709999,27.160156,101906.734375,-48.320896
 2022/5/23,  13:29:46,  4.041250,    0,       0.000000,       0.000000,      1254,       398,        75,         6,         3,         3,         7,        12,        14,         7,        12,        14, 27.709999,27.124023,101908.992188,-48.508083
 2022/5/23,  13:29:56,  4.041250,    0,       0.000000,       0.000000,      1554,       506,        80,        13,         3,         3,        10,        16,        19,        10,        16,        19, 27.719999,27.064453,101915.984375,-49.087635
 2022/5/23,   13:30:6,  4.041250,    0,       0.000000,       0.000000,      1602,       494,        89,         3,         0,         0,        12,        16,        16,        12,        16,        16, 27.730000,27.016602,101909.328125,-48.536110
 2022/5/23,  13:30:16,  4.041250,    0,       0.000000,       0.000000,      1566,       478,       107,         7,         0,         0,        10,        16,        16,        10,        16,        16, 27.730000,26.943359,101903.945312,-48.089664
 2022/5/23,  13:30:26,  4.041250,    0,       0.000000,       0.000000,      1602,       486,       111,         3,         0,         0,        10,        16,        16,        10,        16,        16, 27.730000,26.858398,101914.062500,-48.928486
 2022/5/23,  13:30:36,  4.041250,    0,       0.000000,       0.000000,      1566,       506,        75,        12,         6,         6,        10,        15,        21,        10,        15,        21, 27.730000,26.833984,101909.328125,-48.536110
 2022/5/23,  13:30:46,  4.041250,    0,       0.000000,       0.000000,      1566,       494,        75,         9,         6,         6,        11,        13,        19,        11,        13,        19, 27.730000,26.809570,101919.046875,-49.341866
 2022/5/23,  13:30:56,  4.041250,    0,       0.000000,       0.000000,      1734,       542,        90,        10,         6,         6,        12,        15,        21,        12,        15,        21, 27.719999,26.785156,101912.046875,-48.761326
 2022/5/23,   13:31:6,  4.041250,    0,       0.000000,       0.000000,      1602,       490,        91,         6,         6,         3,        10,        15,        20,        10,        15,        20, 27.719999,26.786133,101913.500000,-48.881439
 2022/5/23,  13:31:16,  4.041250,    0,       0.000000,       0.000000,      1602,       502,       115,         9,         0,         0,         9,        18,        18,         9,        18,        18, 27.730000,26.786133,101909.968750,-48.589161
 2022/5/23,  13:31:26,  4.041250,    0,       0.000000,       0.000000,      1482,       446,        57,         9,         3,         3,         8,        13,        16,         8,        13,        16, 27.719999,26.833984,101912.687500,-48.814377
 2022/5/23,  13:31:36,  4.041250,    0,       0.000000,       0.000000,      1506,       470,       130,        12,         6,         3,         9,        15,        20,         9,        15,        20, 27.719999,26.809570,101910.203125,-48.609180
 2022/5/23,  13:31:46,  4.041250,    0,       0.000000,       0.000000,      1626,       506,       115,        16,         0,         0,        10,        20,        21,        10,        20,        21, 27.719999,26.882812,101914.937500,-49.000553
 2022/5/23,  13:31:56,  4.041250,    0,       0.000000,       0.000000,      1806,       590,       103,         9,         3,         3,        12,        18,        22,        12,        18,        22, 27.719999,27.052734,101918.234375,-49.274803
 2022/5/23,  13:32:10,  4.041250,    0,       0.000000,       0.000000,      1710,       530,        87,         0,         0,         0,        11,        15,        15,        11,        15,        15, 27.700001,27.232422,101915.007812,-49.006557
 2022/5/23,  13:32:20,  4.041250,    0,       0.000000,       0.000000,      1518,       482,        94,         9,         3,         3,        10,        16,        18,        10,        16,        18, 27.719999,27.270508,101918.468750,-49.293823
 2022/5/23,  13:32:30,  4.041250,    0,       0.000000,       0.000000,      1614,       498,        79,         0,         0,         0,        11,        14,        14,        11,        14,        14, 27.709999,27.282227,101912.921875,-48.833397
 2022/5/23,  13:32:40,  4.041250,    0,       0.000000,       0.000000,      1638,       506,        65,         0,         0,         0,        10,        13,        13,        10,        13,        13, 27.700001,27.305664,101909.867188,-48.581154
 2022/5/23,  13:32:50,  4.041250,    0,       0.000000,       0.000000,      1374,       442,        80,        13,         0,         0,         8,        14,        14,         8,        14,        14, 27.709999,27.330078,101908.593750,-48.475048
 2022/5/23,   13:33:0,  4.041250,    0,       0.000000,       0.000000,      1506,       494,       118,        16,         3,         3,        10,        18,        20,        10,        18,        20, 27.700001,27.317383,101910.671875,-48.647217
 2022/5/23,  13:33:10,  4.041250,    0,       0.000000,       0.000000,      1842,       550,       142,        41,         6,         6,        10,        24,        30,        10,        24,        30, 27.709999,27.548828,101916.218750,-49.106651
 2022/5/23,  13:33:20,  4.041250,    0,       0.000000,       0.000000,      1566,       478,        87,        13,         6,         6,         9,        14,        20,         9,        14,        20, 27.700001,27.511719,101915.007812,-49.006557
 2022/5/23,  13:33:30,  4.041250,    0,       0.000000,       0.000000,      1458,       450,        45,         3,         3,         3,        11,        12,        15,        11,        12,        15, 27.700001,27.438477,101911.718750,-48.734303
 2022/5/23,  13:33:40,  4.041250,    0,       0.000000,       0.000000,      1650,       514,       110,         9,         0,         0,        10,        16,        18,        10,        16,        18, 27.700001,27.572266,101912.515625,-48.800365
 2022/5/23,  13:33:50,  4.041250,    0,       0.000000,       0.000000,      1578,       502,        78,        15,         6,         6,        11,        14,        22,        11,        14,        22, 27.709999,27.802734,101912.921875,-48.833397
 2022/5/23,   13:34:0,  4.041250,    0,       0.000000,       0.000000,      1470,       474,        66,         9,         6,         6,        10,        12,        18,        10,        12,        18, 27.690001,27.765625,101908.015625,-48.427002
 2022/5/23,  13:34:10,  4.041250,    0,       0.000000,       0.000000,      1398,       438,        76,         3,         3,         3,         9,        12,        14,         9,        12,        14, 27.700001,27.765625,101911.718750,-48.734303
 2022/5/23,  13:34:20,  4.041250,    0,       0.000000,       0.000000,      1566,       502,       100,         6,         3,         3,        10,        15,        18,        10,        15,        18, 27.690001,27.681641,101913.796875,-48.906464
 2022/5/23,  13:34:30,  4.041250,    0,       0.000000,       0.000000,      1554,       478,        90,        19,        12,         6,        10,        16,        25,        10,        16,        25, 27.700001,27.729492,101913.562500,-48.887447
 2022/5/23,  13:34:40,  4.041250,    0,       0.000000,       0.000000,      1722,       526,        94,         6,         6,         3,        10,        15,        20,        10,        15,        20, 27.700001,27.705078,101910.265625,-48.614185
 2022/5/23,  13:34:50,  4.041250,    0,       0.000000,       0.000000,      1398,       450,        95,         0,         0,         0,         8,        13,        13,         8,        13,        13, 27.700001,27.475586,101911.312500,-48.700268
 2022/5/23,   13:35:0,  4.041250,    0,       0.000000,       0.000000,      1494,       482,        67,         6,         3,         0,        10,        14,        16,        10,        14,        16, 27.690001,27.474609,101908.656250,-48.480053
 2022/5/23,  13:35:10,  4.041250,    0,       0.000000,       0.000000,      1470,       466,        95,         9,         3,         3,         8,        16,        19,         8,        16,        19, 27.700001,27.390625,101907.781250,-48.407982
 2022/5/23,  13:35:20,  4.041250,    0,       0.000000,       0.000000,      1470,       462,        61,         3,         0,         0,         9,        14,        14,         9,        14,        14, 27.700001,27.402344,101904.078125,-48.100674
 2022/5/23,  13:35:30,  4.041250,    0,       0.000000,       0.000000,      1506,       478,        53,         0,         0,         0,         9,        12,        12,         9,        12,        12, 27.700001,27.438477,101905.531250,-48.221798
 2022/5/23,  13:35:40,  4.041250,    0,       0.000000,       0.000000,      1542,       482,        71,         0,         0,         0,        10,        13,        13,        10,        13,        13, 27.690001,27.462891,101910.101562,-48.600170
 2022/5/23,  13:35:50,  4.041250,    0,       0.000000,       0.000000,      1626,       510,        77,         3,         3,         3,        12,        14,        16,        12,        14,        16, 27.690001,27.317383,101908.656250,-48.480053
 2022/5/23,   13:36:0,  4.041250,    0,       0.000000,       0.000000,      1458,       446,        50,         7,         7,         3,        10,        11,        16,        10,        11,        16, 27.680000,27.437500,101903.484375,-48.051624
 2022/5/23,  13:36:10,  4.041250,    0,       0.000000,       0.000000,      1518,       450,        87,        13,        13,         9,         9,        12,        23,         9,        12,        23, 27.670000,27.413086,101907.656250,-48.396973
