Breakout-02
      Date,      Time,   Battery,  Fix,       Latitude,      Longitude,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env
 2022/5/23,  13:29:23,  4.052500,    0,       0.000000,       0.000000,      5439,      1716,       463,       112,        29,        25,        37,        68,       106,        28,        48,        74
 2022/5/23,  13:29:50,  4.052500,    0,       0.000000,       0.000000,      5142,      1583,       379,        47,         3,         3,        36,        64,        66,        28,        47,        57
 2022/5/23,  13:30:10,  4.052500,    0,       0.000000,       0.000000,      5067,      1604,       389,        54,        16,        16,        38,        60,        75,        29,        45,        61
 2022/5/23,  13:30:30,  4.052500,    0,       0.000000,       0.000000,      5988,      1861,       436,        70,        29,        10,        44,        69,        91,        31,        49,        69
 2022/5/23,  13:30:50,  4.053750,    0,       0.000000,       0.000000,      5424,      1640,       424,        88,        18,        15,        37,        72,        87,        28,        50,        67
 2022/5/23,  13:31:10,  4.053750,    0,       0.000000,       0.000000,      5241,      1629,       394,        60,        17,         9,        37,        64,        77,        28,        47,        62
 2022/5/23,  13:31:30,  4.053750,    0,       0.000000,       0.000000,      5046,      1593,       388,        60,        15,        12,        36,        61,        76,        28,        45,        62
 2022/5/23,  13:31:50,  4.052500,    0,       0.000000,       0.000000,      5175,      1586,       410,        46,        13,        13,        36,        59,        72,        28,        45,        60
 2022/5/23,  13:32:10,  4.052500,    0,       0.000000,       0.000000,      5157,      1603,       352,        61,        27,        20,        37,        61,        83,        28,        45,        65
 2022/5/23,  13:32:30,  4.052500,    0,       0.000000,       0.000000,      4770,      1504,       418,        54,         6,         6,        34,        64,        70,        27,        47,        59
 2022/5/23,  13:32:50,  4.052500,    0,       0.000000,       0.000000,      5328,      1685,       461,        51,        12,         6,        39,        66,        76,        29,        47,        62
 2022/5/23,  13:33:10,  4.052500,    0,       0.000000,       0.000000,      5949,      1843,       467,        63,        20,        13,        43,        73,        91,        31,        50,        69
 2022/5/23,  13:33:30,  4.052500,    0,       0.000000,       0.000000,      5766,      1797,       453,        44,         6,         6,        41,        70,        76,        30,        49,        62
