Beta-19
      Date,      Time,   Battery,  Fix,       Latitude,      Longitude,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env,   Temp(C),     RH(%),    P(hPa),   Alti(m)
 2022/4/22,    13:9:0,  4.040000,    0,       0.000000,       0.000000,        51,        17,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 29.610001,21.659180,101689.703125,-30.319426
 2022/4/22,    13:9:0,  4.040000,    0,       0.000000,       0.000000,        51,        17,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 29.600000,21.731445,101693.250000,-30.614223
 2022/4/22,   13:9:10,  4.038750,    0,       0.000000,       0.000000,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 29.590000,22.303711,101687.695312,-30.152971
 2022/4/22,   13:9:20,  4.037500,    0,       0.000000,       0.000000,        18,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 29.580000,21.840820,101695.031250,-30.762621
 2022/4/22,   13:9:30,  4.036250,    0,       0.000000,       0.000000,        60,        20,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 29.549999,21.741211,101691.421875,-30.462814
 2022/4/22,   13:9:40,  4.037500,    0,       0.000000,       0.000000,        51,        17,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 29.549999,21.716797,101683.375000,-29.760891
 2022/4/22,   13:9:50,  4.040000,    0,       0.000000,       0.000000,        69,        23,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 29.530001,21.679688,101685.921875,-30.005566
 2022/4/22,   13:10:0,  4.040000,    0,       0.000000,       0.000000,        78,        19,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 29.500000,21.568359,101686.656250,-30.066734
 2022/4/22,  13:10:10,  4.041250,    0,       0.000000,       0.000000,        51,        13,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 29.480000,21.567383,101691.750000,-30.489887
 2022/4/22,  13:10:20,  4.040000,    0,       0.000000,       0.000000,       117,        39,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 29.469999,21.665039,101695.500000,-30.801725
 2022/4/22,  13:10:30,  4.038750,    0,       0.000000,       0.000000,       114,        38,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 29.450001,21.541992,101685.437500,-29.965456
 2022/4/22,  13:10:40,  4.037500,    0,       0.000000,       0.000000,        69,        23,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 29.440001,21.553711,101689.234375,-30.281321
 2022/4/22,  13:10:50,  4.035000,    0,       0.000000,       0.000000,        18,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 29.410000,21.540039,101687.281250,-30.118877
 2022/4/22,   13:11:0,  4.036250,    0,       0.000000,       0.000000,        42,        10,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 29.389999,21.502930,101692.515625,-30.553059
 2022/4/22,  13:11:10,  4.037500,    0,       0.000000,       0.000000,        81,        23,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 29.379999,21.526367,101691.156250,-30.440754
 2022/4/22,  13:11:20,  4.040000,    0,       0.000000,       0.000000,        48,        16,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 29.350000,21.512695,101690.039062,-30.347502
 2022/4/22,  13:11:30,  4.040000,    0,       0.000000,       0.000000,        45,        15,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 29.340000,21.560547,101693.421875,-30.628260
 2022/4/22,  13:11:40,  4.040000,    0,       0.000000,       0.000000,        57,        19,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 29.309999,21.583984,101691.234375,-30.446770
 2022/4/22,  13:11:50,  4.038750,    0,       0.000000,       0.000000,        81,        27,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 29.299999,21.631836,101690.265625,-30.366552
 2022/4/22,   13:12:0,  4.040000,    0,       0.000000,       0.000000,        81,        27,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 29.280001,21.594727,101692.851562,-30.581133
 2022/4/22,  13:12:10,  4.040000,    0,       0.000000,       0.000000,        63,        21,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 29.270000,21.618164,101689.156250,-30.274302
 2022/4/22,  13:12:20,  4.038750,    0,       0.000000,       0.000000,        39,         9,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 29.240000,21.605469,101687.632812,-30.147957
 2022/4/22,  13:12:30,  4.037500,    0,       0.000000,       0.000000,        60,        16,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 29.230000,21.617188,101691.820312,-30.495903
 2022/4/22,  13:12:40,  4.035000,    0,       0.000000,       0.000000,        30,        10,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 29.209999,21.639648,101692.515625,-30.553059
 2022/4/22,  13:12:50,  4.035000,    0,       0.000000,       0.000000,        81,        19,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 29.190001,21.626953,101691.156250,-30.440754
 2022/4/22,   13:13:0,  4.036250,    0,       0.000000,       0.000000,        90,        26,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 29.180000,21.625977,101691.242188,-30.447773
 2022/4/22,  13:13:10,  4.037500,    0,       0.000000,       0.000000,        69,        16,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 29.160000,21.625000,101690.921875,-30.421703
 2022/4/22,  13:13:20,  4.038750,    0,       0.000000,       0.000000,        69,        16,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 29.139999,21.624023,101688.117188,-30.188066
 2022/4/22,  13:13:30,  4.037500,    0,       0.000000,       0.000000,        60,        16,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 29.120001,21.647461,101691.500000,-30.468830
 2022/4/22,  13:13:40,  4.037500,    0,       0.000000,       0.000000,       111,        33,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0, 29.110001,21.671875,101694.851562,-30.746578
 2022/4/22,  13:13:50,  4.038750,    0,       0.000000,       0.000000,       105,        35,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0, 29.090000,21.695312,101694.937500,-30.754601
 2022/4/22,   13:14:0,  4.038750,    0,       0.000000,       0.000000,        72,        24,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0, 29.070000,22.059570,101693.968750,-30.674385
 2022/4/22,  13:14:10,  4.037500,    0,       0.000000,       0.000000,        60,        20,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0, 29.049999,21.972656,101695.343750,-30.787687
 2022/4/22,  13:14:20,  4.037500,    0,       0.000000,       0.000000,        48,        16,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0, 29.030001,22.070312,101691.492188,-30.468830
 2022/4/22,  13:14:30,  4.035000,    0,       0.000000,       0.000000,        60,        16,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0, 29.010000,21.970703,101690.335938,-30.372570
 2022/4/22,  13:14:44,  4.037500,    0,       0.000000,       0.000000,        48,        12,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 28.969999,22.090820,101697.750000,-30.987221
 2022/4/22,  13:14:54,  4.037500,    0,       0.000000,       0.000000,        42,        14,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 28.959999,22.175781,101697.593750,-30.975189
 2022/4/22,   13:15:4,  4.037500,    0,       0.000000,       0.000000,        63,        17,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 28.940001,22.199219,101691.875000,-30.499914
 2022/4/22,  13:15:14,  4.037500,    0,       0.000000,       0.000000,        60,        16,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 28.920000,22.185547,101693.015625,-30.595171
 2022/4/22,  13:15:24,  4.037500,    0,       0.000000,       0.000000,        27,         9,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 28.900000,22.160156,101690.812500,-30.411674
 2022/4/22,  13:15:34,  4.037500,    0,       0.000000,       0.000000,       111,        33,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 28.889999,22.135742,101690.250000,-30.365551
 2022/4/22,  13:15:44,  4.035000,    0,       0.000000,       0.000000,       156,        48,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0, 28.860001,22.183594,101692.390625,-30.543030
 2022/4/22,  13:15:54,  4.032500,    0,       0.000000,       0.000000,       138,        42,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 28.830000,22.194336,101690.468750,-30.383598
 2022/4/22,   13:16:4,  4.032500,    0,       0.000000,       0.000000,        99,        33,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0, 28.820000,22.193359,101691.351562,-30.456797
 2022/4/22,  13:16:14,  4.033750,    0,       0.000000,       0.000000,        63,        21,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0, 28.799999,22.107422,101690.601562,-30.394629
 2022/4/22,  13:16:24,  4.035000,    0,       0.000000,       0.000000,       111,        37,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 28.770000,22.178711,101688.437500,-30.215141
