Beta-19
      Date,      Time,   Battery,  Fix,       Latitude,      Longitude,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env,   Temp(C),     RH(%),    P(hPa),   Alti(m)
 2022/4/14,   11:29:0,  4.080000,    0,       0.000000,       0.000000,       126,        30,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 30.240000,16.887695,101057.914062,22.260185
 2022/4/14,   11:29:0,  4.080000,    0,       0.000000,       0.000000,       126,        30,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 30.240000,16.875977,101057.914062,22.260185
 2022/4/14,  11:29:10,  4.080000,    0,       0.000000,       0.000000,       168,        49,        11,         0,         0,         0,         0,         0,         0,         0,         0,         0, 30.230000,16.850586,101059.445312,22.132698
 2022/4/14,  11:29:20,  4.080000,    0,       0.000000,       0.000000,       201,        63,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 30.209999,16.800781,101055.609375,22.452677
 2022/4/14,  11:29:30,  4.080000,    0,       0.000000,       0.000000,       138,        46,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 30.190001,16.788086,101057.164062,22.323174
 2022/4/14,  11:29:40,  4.080000,    0,       0.000000,       0.000000,        51,        17,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 30.170000,16.775391,101056.078125,22.413372
 2022/4/14,  11:29:50,  4.080000,    0,       0.000000,       0.000000,        84,        25,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 30.150000,16.774414,101056.843750,22.349880
 2022/4/14,   11:30:0,  4.080000,    0,       0.000000,       0.000000,        75,        18,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 30.129999,16.760742,101057.976562,22.255146
 2022/4/14,  11:30:10,  4.080000,    0,       0.000000,       0.000000,       165,        51,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 30.110001,16.773438,101058.085938,22.246077
 2022/4/14,  11:30:20,  4.078750,    0,       0.000000,       0.000000,       132,        41,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 30.090000,16.808594,101054.093750,22.579159
 2022/4/14,  11:30:30,  4.078750,    0,       0.000000,       0.000000,        57,         9,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 30.070000,16.795898,101055.007812,22.503067
 2022/4/14,  11:30:40,  4.078750,    0,       0.000000,       0.000000,        96,        21,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 30.049999,17.650391,101052.585938,22.705139
 2022/4/14,  11:30:50,  4.078750,    0,       0.000000,       0.000000,       165,        51,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0, 30.030001,17.001953,101053.968750,22.589741
 2022/4/14,   11:31:0,  4.077500,    0,       0.000000,       0.000000,       180,        53,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0, 30.010000,16.927734,101054.078125,22.580671
 2022/4/14,  11:31:10,  4.077500,    0,       0.000000,       0.000000,       120,        33,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0, 30.000000,18.295898,101053.531250,22.626022
 2022/4/14,  11:31:20,  4.077500,    0,       0.000000,       0.000000,       111,        37,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 29.969999,17.281250,101052.843750,22.683470
 2022/4/14,  11:31:30,  4.077500,    0,       0.000000,       0.000000,       153,        51,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0, 29.959999,17.158203,101059.156250,22.156885
 2022/4/14,  11:31:40,  4.077500,    0,       0.000000,       0.000000,        96,        32,         3,         3,         3,         3,         0,         0,         3,         0,         0,         3, 29.950001,19.587891,101059.015625,22.168476
 2022/4/14,   11:34:0,  4.062500,    0,       0.000000,       0.000000,        57,        15,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0, 29.830000,17.898438,101053.656250,22.615944
 2022/4/14,   11:34:0,  4.062500,    0,       0.000000,       0.000000,        57,        15,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0, 29.830000,17.898438,101053.656250,22.615944
