Breakout-05
      Date,      Time,   Battery,  Fix,       Latitude,      Longitude,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env
 2022/4/13,   11:58:8,  3.988750,    0,       0.000000,       0.000000,        81,        24,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2022/4/13,  11:58:18,  3.988750,    0,       0.000000,       0.000000,        45,        12,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2022/4/13,  11:58:28,  3.987500,    0,       0.000000,       0.000000,        90,        24,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2022/4/13,  11:58:38,  3.983750,    0,       0.000000,       0.000000,       108,        24,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2022/4/13,  11:58:48,  3.982500,    0,       0.000000,       0.000000,        81,        21,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2022/4/13,  11:59:15,  3.985000,    0,       0.000000,       0.000000,        36,         9,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2022/4/13,  11:59:25,  3.987500,    0,       0.000000,       0.000000,        63,        18,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2022/4/13,  11:59:35,  3.987500,    0,       0.000000,       0.000000,        90,        27,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2022/4/13,  11:59:45,  3.986250,    0,       0.000000,       0.000000,        45,        12,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2022/4/13,  11:59:55,  3.986250,    0,       0.000000,       0.000000,        45,        12,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2022/4/13,   12:0:15,  3.987500,    0,       0.000000,       0.000000,        45,        15,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2022/4/13,   12:0:25,  3.985000,    0,       0.000000,       0.000000,        36,        12,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2022/4/13,   12:0:35,  3.982500,    0,       0.000000,       0.000000,        27,         9,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2022/4/13,   12:0:45,  3.978750,    0,       0.000000,       0.000000,        18,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2022/4/13,   12:0:55,  3.977500,    0,       0.000000,       0.000000,        27,         9,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 2022/4/13,   12:1:15,  3.982500,    0,       0.000000,       0.000000,        54,        15,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
