Breakout-02
      Date,      Time,   Battery,  Fix,       Latitude,      Longitude,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env
 2022/5/20,  11:49:53,  4.055000,    0,       0.000000,       0.000000,      2322,       651,        63,        16,        16,         6,        11,        14,        26,        11,        14,        26
 2022/5/20,   11:50:3,  4.055000,    0,       0.000000,       0.000000,      1932,       546,        56,        26,        19,         9,        10,        12,        27,        10,        12,        27
 2022/5/20,  11:50:20,  4.055000,    0,       0.000000,       0.000000,      1095,       350,       142,        50,        30,        22,         5,        15,        41,         5,        15,        41
 2022/5/20,  11:50:40,  4.055000,    0,       0.000000,       0.000000,      8988,      2777,       187,        68,        47,        29,        59,        72,       109,        38,        50,        75
 2022/5/20,   11:51:0,  4.055000,    0,       0.000000,       0.000000,      5061,      1534,       386,       152,        64,        50,        30,        62,       120,        25,        46,        79
 2022/5/20,  11:51:20,  4.055000,    0,       0.000000,       0.000000,      4290,      1268,       393,       147,        92,        57,        23,        55,       126,        22,        44,        83
 2022/5/20,  11:51:40,  4.055000,    0,       0.000000,       0.000000,      2436,       749,       284,        78,        47,        29,        13,        33,        71,        13,        31,        60
 2022/5/20,   11:52:0,  4.055000,    0,       0.000000,       0.000000,      2283,       693,       306,       106,        50,        32,        11,        33,        78,        11,        31,        63
 2022/5/20,  11:52:20,  4.055000,    0,      47.653980,    -122.304207,      2184,       676,       331,       122,        61,        54,        10,        38,        93,        10,        34,        69
 2022/5/20,  11:52:40,  4.055000,    0,      47.653980,    -122.304207,      1125,       344,       149,        50,        30,        23,         4,        17,        41,         4,        17,        41
2022/05/20,  11:52:44,  4.055000,    1,      47.653477,    -122.303986,      1254,       400,       183,        74,        37,        27,         5,        20,        52,         5,        20,        49
 2022/5/20,  11:53:20,  4.055000,    0,      47.653366,    -122.303963,       984,       296,        93,        40,        22,        13,         3,        10,        30,         3,        10,        30
 2022/5/20,  11:53:40,  4.055000,    0,      47.653366,    -122.303963,      1560,       496,       217,        94,        41,        23,         6,        27,        61,         6,        27,        54
 2022/5/20,   11:54:0,  4.055000,    0,      47.653366,    -122.303963,      1083,       338,       165,        64,        40,        26,         3,        17,        49,         3,        17,        47
2022/05/20,  11:54:04,  4.055000,    1,      47.653793,    -122.304642,      1026,       323,       129,        26,        16,        12,         3,        13,        28,         3,        13,        28
2022/05/20,  11:54:24,  4.055000,    1,      47.653828,    -122.304626,      1350,       415,       159,        43,        23,        23,         7,        18,        39,         7,        18,        39
2022/05/20,  11:54:44,  4.055000,    1,      47.653782,    -122.304665,      1401,       448,       228,        60,        36,        32,         7,        21,        54,         7,        21,        50
2022/05/20,  11:55:04,  4.055000,    1,      47.653889,    -122.304703,      1101,       344,       169,        53,        33,        33,         4,        17,        47,         4,        17,        46
2022/05/20,  11:55:24,  4.055000,    1,      47.653477,    -122.304848,      1116,       336,       109,        32,        25,        22,         5,        12,        33,         5,        12,        33
2022/05/20,  11:55:44,  4.055000,    1,      47.653217,    -122.304779,      1128,       358,       171,        70,        29,        21,         5,        20,        46,         5,        20,        45
2022/05/20,  11:56:04,  4.055000,    1,      47.653183,    -122.305000,       948,       309,       141,        61,        31,        22,         3,        15,        42,         3,        15,        42
 2022/5/20,  11:56:40,  4.055000,    0,      47.653198,    -122.304741,      1146,       347,       162,        75,        22,        16,         5,        23,        42,         5,        23,        42
 2022/5/20,   11:57:0,  4.055000,    0,      47.653172,    -122.304436,       927,       275,       120,        37,        13,        13,         3,        15,        27,         3,        15,        27
 2022/5/20,  11:57:20,  4.055000,    0,      47.653172,    -122.304436,      1287,       403,       166,        50,        22,        22,         6,        20,        42,         6,        20,        42
2022/05/20,  11:57:24,  4.055000,    1,      47.653526,    -122.304512,       897,       296,       120,        43,        39,        33,         3,         9,        43,         3,         9,        43
 2022/5/20,   11:58:0,  4.055000,    0,      47.653484,    -122.304550,       894,       292,       144,        61,        36,        29,         3,        14,        46,         3,        14,        45
 2022/5/20,  11:58:20,  4.055000,    0,      47.653484,    -122.304550,      1056,       335,       130,        33,        15,        15,         4,        14,        30,         4,        14,        30
 2022/5/20,  11:58:40,  4.055000,    0,      47.653484,    -122.304550,       918,       290,       109,        31,        27,        23,         3,         9,        33,         3,         9,        33
 2022/5/20,   11:59:0,  4.055000,    0,      47.653484,    -122.304550,       915,       296,       139,        46,        32,        25,         3,        13,        40,         3,        13,        40
 2022/5/20,  11:59:20,  4.055000,    0,      47.653484,    -122.304550,      1257,       390,       165,        56,        37,        30,         5,        16,        49,         5,        16,        47
 2022/5/20,  11:59:40,  4.055000,    0,      47.653484,    -122.304550,       741,       229,        88,        50,        29,        26,         2,         8,        35,         2,         8,        35
 2022/5/20,    12:0:0,  4.055000,    0,      47.653484,    -122.304550,      1086,       345,       136,        26,        22,        22,         5,        13,        34,         5,        13,        34
 2022/5/20,   12:0:20,  4.055000,    0,      47.653484,    -122.304550,       891,       286,       116,        50,        22,        15,         3,        13,        34,         3,        13,        34
 2022/5/20,   12:0:40,  4.055000,    0,      47.653484,    -122.304550,      1098,       351,       128,        36,        19,        19,         4,        16,        33,         4,        16,        33
 2022/5/20,    12:1:0,  4.055000,    0,      47.653484,    -122.304550,       750,       229,        99,        33,        16,        12,         3,        11,        25,         3,        11,        25
2022/05/20,  12:01:04,  4.055000,    1,      47.652676,    -122.304344,       864,       270,       103,        49,        22,        18,         3,        13,        32,         3,        13,        32
2022/05/20,  12:01:24,  4.055000,    1,      47.652565,    -122.304565,      1191,       379,       128,        41,        13,         9,         6,        18,        30,         6,        18,        30
2022/05/20,  12:01:44,  4.055000,    1,      47.653336,    -122.304947,       621,       199,        78,        30,        27,        16,         2,         5,        27,         2,         5,        27
2022/05/20,  12:02:04,  4.055000,    1,      47.653236,    -122.304604,       777,       249,       100,        26,        22,        19,         3,         8,        26,         3,         8,        26
2022/05/20,  12:02:24,  4.055000,    1,      47.652874,    -122.304604,       834,       264,       107,        26,        17,        13,         4,        10,        25,         4,        10,        25
2022/05/20,  12:02:44,  4.055000,    1,      47.652794,    -122.304718,       786,       252,        88,        31,         9,         6,         3,        12,        20,         3,        12,        20
2022/05/20,  12:03:04,  4.055000,    1,      47.652710,    -122.304718,       834,       263,       116,        33,        19,        12,         3,        12,        27,         3,        12,        27
2022/05/20,  12:03:24,  4.055000,    1,      47.652790,    -122.304741,       564,       182,        29,         3,         3,         3,         2,         4,         6,         2,         4,         6
2022/05/20,  12:03:44,  4.055000,    1,      47.652897,    -122.304436,       873,       274,       106,        16,         6,         0,         3,        14,        18,         3,        14,        18
 2022/5/20,   12:4:20,  4.055000,    0,      47.652721,    -122.304359,       885,       281,       113,        48,        27,        16,         4,        12,        36,         4,        12,        36
 2022/5/20,   12:4:40,  4.055000,    0,      47.652721,    -122.304359,       846,       256,        95,        37,        23,        16,         3,        10,        29,         3,        10,        29
 2022/5/20,    12:5:0,  4.055000,    0,      47.652721,    -122.304359,       834,       256,       102,        29,        23,        20,         3,         8,        29,         3,         8,        29
2022/05/20,  12:05:04,  4.055000,    1,      47.653446,    -122.304855,       723,       220,        92,        26,        13,         6,         1,         9,        20,         1,         9,        20
2022/05/20,  12:05:24,  4.055000,    1,      47.653141,    -122.304756,       894,       277,        91,        32,        19,        19,         3,        10,        29,         3,        10,        29
2022/05/20,  12:05:44,  4.055000,    1,      47.653130,    -122.304642,       690,       227,        85,        24,        20,        20,         3,         7,        25,         3,         7,        25
2022/05/20,  12:06:04,  4.055000,    1,      47.653107,    -122.304573,       726,       232,       111,        34,        20,        12,         3,        10,        26,         3,        10,        26
2022/05/20,  12:06:24,  4.055000,    1,      47.653240,    -122.304420,       750,       235,       119,        34,        13,        13,         2,        12,        24,         2,        12,        24
2022/05/20,  12:06:44,  4.055000,    1,      47.653347,    -122.304436,       687,       219,        72,        15,        12,        12,         3,         7,        17,         3,         7,        17
2022/05/20,  12:07:04,  4.055000,    1,      47.653332,    -122.304489,       726,       225,        68,        16,        13,        10,         3,         5,        16,         3,         5,        16
 2022/5/20,   12:7:40,  4.055000,    0,      47.653225,    -122.304489,       948,       295,       137,        75,        29,        19,         2,        17,        42,         2,        17,        42
 2022/5/20,    12:8:0,  4.055000,    0,      47.653225,    -122.304489,       624,       190,        82,        20,        14,        14,         2,         7,        19,         2,         7,        19
